lat,long,bdod_0-5cm_mean,cec_0-5cm_mean,cfvo_0-5cm_mean,clay_0-5cm_mean,nitrogen_0-5cm_mean,ocd_0-5cm_mean,ocs_0-30cm_mean,phh2o_0-5cm_mean,sand_0-5cm_mean,silt_0-5cm_mean,soc_0-5cm_mean
45.415,141.678888888889,0,0,0,0,0,0,0,0,0,0,0
43.9461111111111,141.631944444444,100,314,98,286,868,607,96,52,375,340,841
43.7569444444444,142.372222222222,105,294,87,293,763,577,88,52,273,435,648
44.0177777777778,144.279722222222,0,303,146,173,763,618,66,60,392,435,0
43.06,141.328611111111,111,316,84,241,823,577,95,51,436,323,767
43.2116666666667,141.785833333333,104,335,73,260,880,601,108,53,410,331,804
42.9222222222222,143.211944444444,99,309,33,147,734,547,98,55,528,326,703
42.9858333333333,144.377777777778,103,302,95,276,709,579,80,55,346,378,601
42.9530555555556,144.4375,103,292,89,257,737,577,79,55,366,378,748
43.3305555555556,145.585555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42.3116666666667,140.975277777778,109,320,73,202,685,585,83,52,430,368,883
42.3236111111111,140.97,109,320,73,202,685,585,83,52,430,368,883
42.1625,142.776944444444,104,305,80,205,716,560,71,55,403,392,711
41.8672222222222,140.123888888889,100,360,77,221,860,588,88,49,398,382,886
41.8166666666667,140.754166666667,93,334,85,216,766,639,92,50,427,357,776
42.9011111111111,140.758055555556,94,355,93,215,965,624,94,51,426,359,907
44.345,143.355277777778,97,314,98,186,752,561,69,59,434,380,630
42.2944444444444,143.316666666667,98,306,95,215,725,580,90,57,405,381,783
38.7569444444444,140.312222222222,91,388,87,263,838,676,115,50,375,363,1058
40.8216666666667,140.768888888889,109,397,60,196,835,582,90,51,424,380,796
40.5272222222222,141.521666666667,107,293,84,246,683,549,77,57,382,373,679
39.7175,140.099166666667,103,415,84,359,854,589,83,50,281,360,912
39.6983333333333,141.166111111111,99,312,75,230,684,600,79,52,410,361,919
39.6469444444444,141.965833333333,99,297,78,226,617,617,78,55,389,385,777
38.9086111111111,139.843333333333,106,350,71,313,878,493,71,52,262,425,849
38.2555555555556,140.34611111111099,109,329,80,190,732,631,81,53,451,358,724
38.2619444444444,140.896666666667,113,266,81,240,613,561,85,57,381,379,645
38.2622222222222,140.896666666667,113,266,81,240,613,561,85,57,381,379,645
37.7594444444444,140.470833333333,110,288,72,231,634,562,80,57,414,355,584
37.1316666666667,140.215,115,227,71,225,570,487,72,57,387,389,529
36.9475,140.903333333333,112,265,108,282,488,553,77,57,364,354,659
37.3913888888889,136.895277777778,0,0,0,0,0,0,0,0,0,0,0
38.0291666666667,138.24,94,344,78,268,801,599,91,50,311,422,1011
37.8936111111111,139.018888888889,103,303,76,314,805,470,66,53,267,419,656
36.5897222222222,136.634722222222,110,350,79,331,632,595,95,54,226,444,721
36.7094444444445,137.2025,109,337,90,319,689,609,94,54,234,447,806
36.6627777777778,138.1925,113,275,120,196,753,620,73,53,520,284,909
37.1066666666667,138.246666666667,101,350,90,300,831,554,97,55,280,421,910
36.5497222222222,139.868333333333,116,295,77,214,606,543,118,58,458,328,595
36.0555555555556,136.2225,99,351,73,291,785,523,111,53,262,448,1068
36.1561111111111,137.253333333333,89,299,114,302,769,677,82,50,353,345,1293
36.2466666666667,137.970555555556,111,238,139,266,530,525,75,59,344,391,626
36.4052777777778,139.060555555556,111,265,111,236,621,620,73,55,402,362,770
36.15,139.38,118,237,44,280,586,489,107,61,390,330,455
36.3811111111111,140.468055555556,106,268,47,219,553,542,96,57,447,334,605
35.6533333333333,136.062222222222,92,312,106,273,662,611,91,50,336,391,1029
35.4002777777778,136.7625,110,220,108,343,450,597,75,53,345,313,717
35.1677777777778,136.965555555556,116,209,93,324,368,567,78,55,364,312,660
35.1683333333333,136.964722222222,116,209,93,324,368,567,78,55,364,312,660
35.5233333333333,137.8225,119,234,126,256,361,515,64,58,394,350,481
35.6672222222222,138.553888888889,105,240,120,276,496,519,80,56,375,350,661
35.7397222222222,140.857222222222,0,298,68,295,609,596,95,56,317,388,0
34.7341666666667,136.519722222222,124,207,78,332,357,489,54,57,331,338,566
34.7538888888889,137.71166666666701,119,207,71,318,290,455,50,55,341,341,443
34.9761111111111,138.40388888888901,117,229,108,346,370,574,73,53,336,318,613
35.6916666666667,139.751111111111,108,282,70,221,574,576,98,59,420,359,602
34.0697222222222,136.193333333333,108,236,137,331,395,486,61,53,329,340,619
35.4397222222222,139.6525,0,0,0,0,0,0,0,0,0,0,0
34.9869444444444,139.865277777778,113,266,89,301,467,629,76,53,352,348,655
34.7494444444444,139.363055555556,110,267,137,329,459,640,80,50,303,367,824
34.1238888888889,139.521388888889,101,246,106,333,583,610,85,48,324,343,1005
33.1216666666667,139.779166666667,0,0,0,0,0,0,0,0,0,0,0
36.2044444444444,133.333888888889,102,283,98,287,641,571,78,51,323,391,799
35.4572222222222,133.065555555556,106,267,79,295,670,564,74,52,292,414,743
35.4347222222222,133.338611111111,116,307,76,316,649,550,87,55,263,421,600
35.4877777777778,134.238333333333,98,298,103,274,620,580,72,51,299,427,916
35.5308333333333,134.199444444444,105,311,99,301,622,587,81,52,263,436,846
35.5358333333333,134.822222222222,97,339,95,292,784,612,87,52,257,451,1019
35.4502777777778,135.318055555556,102,284,91,287,596,588,80,51,325,389,789
34.8966666666667,132.070555555556,107,262,82,273,599,609,75,52,342,385,876
35.0147222222222,135.732777777778,113,281,71,286,526,570,80,56,357,358,710
35.2761111111111,136.243888888889,112,248,83,320,596,627,77,53,330,350,723
33.9486111111111,130.926111111111,111,242,91,339,466,567,71,53,338,324,690
34.3986111111111,132.462777777778,107,228,104,314,433,569,68,53,354,332,685
34.6858333333333,133.925277777778,116,195,106,294,298,482,58,57,325,381,505
34.6969444444444,135.212777777778,0,205,107,252,377,498,52,58,369,381,0
34.6822222222222,135.519166666667,0,0,0,0,0,0,0,0,0,0,0
34.3383333333333,134.905,0,219,107,287,378,457,59,56,312,401,0
34.2288888888889,135.164166666667,121,206,80,284,338,452,54,59,302,414,371
33.4502777777778,135.757222222222,114,265,125,353,347,517,70,52,280,368,697
34.6938888888889,135.827777777778,117,224,76,287,386,546,71,57,367,346,544
34.1977777777778,129.291944444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34.1533333333333,129.222777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33.5822222222222,130.376388888889,113,245,63,298,477,530,78,55,263,440,676
33.2663888888889,130.305277777778,106,265,56,317,523,592,81,57,269,415,659
33.2361111111111,131.619166666667,117,255,77,318,386,557,83,58,293,389,525
32.7341666666667,129.868055555556,108,238,124,336,416,554,67,52,351,313,647
32.8136111111111,130.706944444444,112,237,78,327,447,524,70,57,352,321,499
32.5819444444444,131.658055555556,109,234,106,335,375,474,59,53,321,345,562
31.555,130.548055555556,113,211,85,314,258,489,58,54,339,347,494
31.9383333333333,131.414166666667,118,220,85,308,344,466,53,54,324,368,496
30.3855555555556,130.659166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30.3830555555556,130.659166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30.7202777777778,130.9825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32.6947222222222,128.826944444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33.8436111111111,132.7775,106,225,109,286,372,516,66,54,322,393,545
34.3180555555556,134.054444444444,117,191,100,272,335,425,56,58,376,352,481
33.2277777777778,132.553055555556,109,242,107,329,380,510,60,53,317,355,639
33.5680555555556,133.549444444444,115,224,129,333,346,460,57,55,301,366,542
33.5683333333333,133.549166666667,115,224,129,333,346,460,57,55,301,366,542
34.0677777777778,134.573333333333,115,231,85,286,487,527,58,61,238,475,596
28.3797222222222,129.495555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28.3941666666667,129.552777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
