lat,long,bdod_0-5cm_mean,cec_0-5cm_mean,cfvo_0-5cm_mean,clay_0-5cm_mean,nitrogen_0-5cm_mean,ocd_0-5cm_mean,ocs_0-30cm_mean,phh2o_0-5cm_mean,sand_0-5cm_mean,silt_0-5cm_mean,soc_0-5cm_mean
47.056436,7.012192,92,421,81,302,882,742,104,61,278,420,1294
46.400261,8.127792,104,327,139,168,706,580,71,57,490,342,1244
45.988267,7.180528,95,323,125,188,786,670,98,58,411,402,1179
47.002858,6.728592,90,455,52,303,983,718,104,58,288,409,1315
47.157753,7.214464,96,453,78,342,908,713,94,60,261,398,1203
46.761672,7.098294,120,351,45,195,779,580,63,59,521,284,745
46.965036,9.685814,91,355,66,229,909,713,87,55,389,381,997
46.965358,9.632064,87,339,63,221,820,673,82,56,411,368,921
46.048003,6.993797,93,297,106,204,857,630,95,58,366,429,1169
46.712292,6.379286,93,415,89,350,882,728,102,61,240,410,1139
47.291794,7.941003,113,325,37,210,655,671,77,57,376,414,733
47.151194,7.254139,105,313,69,266,821,624,72,59,369,365,812
47.415283,9.182167,115,345,49,245,862,612,76,60,394,361,662
47.481403,7.730519,120,286,32,364,726,652,62,63,181,455,691
47.108222,9.217372,100,339,108,262,896,620,79,58,391,347,686
47.620414,8.542733,109,283,108,277,692,559,64,56,382,341,676
47.338319,8.153353,112,302,48,195,669,667,71,57,502,304,640
46.290431,6.137128,121,349,89,256,702,559,74,65,362,382,806
47.289853,9.104422,95,333,57,274,837,675,85,59,379,348,1025
47.279603,8.027331,98,374,38,199,786,763,88,58,468,333,919
47.350869,8.510678,118,317,97,290,753,582,73,60,359,351,677
46.600961,9.422614,95,344,55,201,760,619,82,61,467,333,875
46.722633,6.536061,124,341,59,237,669,577,76,64,402,361,740
46.195022,8.056794,103,290,150,163,628,531,74,62,457,381,1158
46.177483,6.014089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46.9213,6.637761,92,413,76,361,847,745,99,60,281,359,1131
46.894217,8.252236,103,388,82,235,768,711,87,58,399,366,928
47.277122,8.916314,99,336,60,258,843,664,80,57,399,344,927
46.756178,6.490211,92,427,103,337,843,727,106,61,281,382,1245
46.236078,8.725292,109,303,101,127,741,669,71,51,628,245,876
46.265447,10.115375,107,284,99,193,709,511,67,59,439,367,747
46.699461,8.850803,83,371,71,201,827,674,95,57,425,374,1047
46.898653,7.932344,97,419,56,270,875,717,97,59,399,331,1032
46.921942,9.172731,92,408,76,229,1006,695,95,56,387,384,1109
46.736853,8.351842,100,393,117,215,974,676,84,54,370,416,1330
46.274817,7.065661,102,343,94,228,961,624,89,57,374,398,1269
47.047992,6.754314,92,434,49,344,793,720,104,61,223,433,1039
46.75275,8.137867,88,399,66,246,924,736,97,54,386,369,1031
47.561983,7.850547,124,279,41,249,665,643,66,63,234,517,574
47.050589,9.439256,103,382,104,251,865,663,92,58,355,394,970
46.709511,9.44165,106,312,49,185,764,609,70,67,482,334,736
46.622889,9.182461,89,386,66,227,853,714,95,56,397,376,1129
46.225417,8.605172,103,283,100,200,765,641,83,51,494,306,980
46.648728,7.182475,90,412,72,345,1080,703,105,56,299,356,1460
47.223239,8.679778,110,368,45,242,807,678,77,58,418,340,876
47.378142,8.565853,112,317,90,292,855,596,75,59,352,357,727
47.364822,8.881672,100,355,76,281,945,623,76,57,388,331,893
46.256639,7.092033,92,365,87,264,927,648,93,57,330,406,1189
46.394025,8.655608,92,313,85,144,787,675,87,53,530,327,988
46.987397,8.068953,100,411,57,238,771,703,96,59,405,357,905
46.555264,7.373433,96,353,66,292,959,662,88,56,307,402,1327
46.498772,6.26595,87,465,74,350,959,761,106,58,236,414,1365
47.763636,8.612414,102,323,162,351,716,564,72,57,314,336,782
47.219356,8.5767,103,402,61,232,849,682,81,58,443,325,951
46.868244,9.5419,89,335,69,217,887,635,84,56,422,362,961
47.126578,7.613264,119,318,51,187,712,549,64,59,485,328,602
47.166089,7.887067,100,422,47,197,759,723,95,60,452,351,912
47.279386,7.385775,100,341,63,355,815,691,91,61,268,377,910
46.808986,9.836586,98,334,89,148,879,643,65,52,529,323,1390
46.492022,7.561067,102,372,97,263,1032,647,93,54,331,407,1470
46.395917,6.229419,122,353,75,261,719,579,76,66,370,370,800
47.548594,7.582372,0,273,73,308,538,536,50,68,270,422,0
46.315447,8.598925,103,311,97,139,767,667,77,53,595,267,868
47.265269,8.582169,100,333,66,271,925,630,70,56,363,367,816
46.169278,8.798214,115,288,80,122,685,629,72,58,606,272,871
46.646331000000004,6.777689,115,344,52,191,843,653,78,61,501,309,976
