lat,long,bdod_0-5cm_mean,cec_0-5cm_mean,cfvo_0-5cm_mean,clay_0-5cm_mean,nitrogen_0-5cm_mean,ocd_0-5cm_mean,ocs_0-30cm_mean,phh2o_0-5cm_mean,sand_0-5cm_mean,silt_0-5cm_mean,soc_0-5cm_mean
38.25085,128.56472,121,228,93,275,586,511,76,60,351,375,500
37.67713,128.71833,106,232,104,260,690,529,79,54,385,354,630
37.90256,127.7357,127,188,132,239,577,437,53,59,384,378,639
37.75147,128.89098,120,238,85,261,599,540,75,58,376,363,563
37.57142,126.9658,126,173,121,309,546,396,57,60,335,356,409
37.47772,126.6249,129,181,75,282,310,368,51,63,315,402,277
37.33756,127.9466,129,193,124,291,595,428,51,62,298,411,552
37.48129,130.89864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37.27226,126.98533,128,168,95,287,312,378,53,62,357,356,298
36.97038,127.95266,131,196,121,293,382,444,50,61,317,391,508
36.77661,126.49391,134,158,40,294,291,374,45,59,327,379,234
36.99176,129.41278,115,245,87,247,637,502,65,58,386,367,589
36.63924,127.44066,130,148,107,300,310,355,45,59,354,347,328
36.372,127.37212,129,136,127,280,282,387,46,60,392,328,356
36.22023,127.99457,129,155,130,284,335,407,52,58,352,364,503
36.03201,129.38002,124,186,73,304,580,406,56,61,312,385,390
36.0053,126.76135,126,181,72,270,283,353,47,61,322,409,337
35.87797,128.65295,130,190,135,284,347,400,48,63,292,424,421
35.8408,127.119,132,144,97,280,342,372,46,59,323,397,364
35.5825,129.3347222,126,169,72,297,540,394,56,59,406,298,465
35.17294,126.89158,129,144,45,312,293,350,44,58,272,416,251
35.10468,129.03203,123,173,83,278,527,399,57,57,454,269,502
34.84546,128.4356,120,209,109,269,344,431,55,57,420,312,474
34.81689,126.38121,127,173,99,329,319,356,47,61,306,365,335
34.73929,127.74064,117,200,112,280,285,376,52,60,329,391,488
34.39587,126.70184,124,186,106,289,293,394,51,58,315,396,377
33.51411,126.52968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33.38677,126.8802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33.24613,126.56534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35.16379,128.04002,122,165,114,273,280,338,51,57,364,363,409
37.70739,126.44634,128,179,123,265,289,363,52,59,392,343,341
37.48863,127.49446,127,179,144,306,560,451,53,60,355,339,648
37.26399,127.48421,130,176,126,311,368,415,51,61,367,322,439
38.05987,128.16713,123,196,120,280,531,447,57,58,341,379,592
37.68358,127.8804,125,177,137,268,580,436,53,60,352,381,665
37.15927,128.19431,130,192,111,309,598,443,55,62,289,402,572
36.48759,127.73412,129,157,91,281,293,375,48,59,381,338,409
36.7624,127.2927,131,152,93,289,267,348,46,59,380,331,346
36.32724,126.55744,130,175,61,266,267,361,47,60,318,416,307
36.27242,126.92079,131,124,75,233,272,340,46,57,482,286,285
36.1027,127.4817,129,135,125,268,361,405,49,58,370,362,418
35.72954,126.71655,135,162,61,291,299,340,45,59,239,471,260
35.61203,127.28556,125,149,97,280,400,387,49,57,305,416,370
35.56306,126.83917,134,145,70,306,316,344,43,56,216,479,239
34.68875,126.91949,123,158,112,270,313,393,51,57,326,404,370
34.55375,126.56907,127,162,90,318,287,360,45,57,275,407,269
34.61826,127.27572,121,151,117,275,274,382,50,57,346,379,377
36.87188,128.51696,124,182,124,302,633,498,56,58,276,423,697
36.62727,128.148,129,153,111,277,373,405,49,59,339,385,500
36.53331,129.40936,118,195,108,281,662,449,59,57,290,429,587
36.35611,128.688,127,163,123,284,381,439,49,60,341,376,605
36.13,128.32,126,181,170,280,419,434,52,59,348,373,633
35.97743,128.95141,128,180,105,262,402,404,48,63,324,415,537
35.6674,127.909,124,156,127,278,319,390,49,58,340,383,431
35.56503,128.16986,123,158,141,265,315,378,50,58,338,398,491
35.49148,128.7441,124,165,154,273,355,432,51,58,351,376,557
35.41299,127.8791,117,165,157,270,410,455,56,56,348,383,525
34.88818,128.60453,114,203,95,283,368,449,57,56,381,337,448
34.81662,127.92641,118,166,119,258,315,400,54,56,391,352,421
